GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestionstocks,com.macrosoft.gestionboot.model.customer,Customer,45,0,0,0,19,0,13,0,13,0
gestionstocks,com.macrosoft.gestionboot.model.customer,ShippingInfo,38,0,0,0,16,0,11,0,11,0
gestionstocks,com.macrosoft.gestionboot.model.customer,ProductCategory,30,0,0,0,14,0,8,0,8,0
gestionstocks,com.macrosoft.gestionboot.model.customer,Supplier,38,0,0,0,16,0,11,0,11,0
gestionstocks,com.macrosoft.gestionboot.model.customer,BillingInfo,31,0,0,0,13,0,9,0,9,0
gestionstocks,com.macrosoft.gestionboot.model.customer,Product,80,0,0,0,34,0,23,0,23,0
gestionstocks,com.macrosoft.gestionboot.model.customer,OrderLineItem,31,0,0,0,13,0,9,0,9,0
gestionstocks,com.macrosoft.gestionboot.model.customer,PurchaseOrder,216,0,38,0,56,0,32,0,13,0
gestionstocks,com.macrosoft.gestionboot,GestionBootApplication,40,0,0,0,9,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.service.customer,CustomerServiceImpl,23,0,0,0,7,0,5,0,5,0
gestionstocks,com.macrosoft.gestionboot.service.customer,ProductServiceImpl,37,0,0,0,9,0,7,0,7,0
gestionstocks,com.macrosoft.gestionboot.service.customer,TotoService,23,0,0,0,7,0,5,0,5,0
gestionstocks,com.macrosoft.gestionboot.form,UserForm,160,0,30,0,40,0,25,0,10,0
gestionstocks,com.macrosoft.gestionboot.form,ProductBean,31,0,0,0,13,0,9,0,9,0
gestionstocks,com.macrosoft.gestionboot.form,CustomerForm,38,0,0,0,16,0,11,0,11,0
gestionstocks,com.macrosoft.gestionboot.form,ProductForm,31,0,0,0,13,0,9,0,9,0
gestionstocks,com.macrosoft.gestionboot.form,CommandForm,357,0,60,0,9,0,51,0,21,0
gestionstocks,com.macrosoft.gestionboot.form,WebController,55,0,2,0,16,0,5,0,4,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Location,48,0,0,0,21,0,13,0,13,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Departement,27,0,0,0,12,0,7,0,7,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Job,31,0,0,0,14,0,9,0,9,0
gestionstocks,com.macrosoft.gestionboot.model.employee,JobHistory,47,0,0,0,20,0,11,0,11,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Region,10,0,0,0,5,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Employee,107,0,0,0,38,0,23,0,23,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Country,20,0,0,0,9,0,5,0,5,0
gestionstocks,com.macrosoft.gestionboot.model.employee,Task,17,0,0,0,8,0,5,0,5,0
gestionstocks,com.macrosoft.gestionboot.restcontroller.utils,EmailRestController,98,0,0,0,25,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.restcontroller.utils,EmailRestController.new Authenticator() {...},12,0,0,0,2,0,2,0,2,0
gestionstocks,com.macrosoft.gestionboot.config,WebSecurityConfig,217,0,2,0,47,0,7,0,6,0
gestionstocks,com.macrosoft.gestionboot.config,CacheConfig,3,0,0,0,1,0,1,0,1,0
gestionstocks,com.macrosoft.gestionboot.config,AsynchConfiguration,23,0,0,0,8,0,2,0,2,0
gestionstocks,com.macrosoft.gestionboot.config,SchedulingConfig,3,0,0,0,1,0,1,0,1,0
gestionstocks,com.macrosoft.gestionboot.component,StartupEventHandler,96,0,2,0,20,0,9,0,8,0
gestionstocks,com.macrosoft.gestionboot.component,SchedulerComponent,57,0,0,0,12,0,4,0,4,0
gestionstocks,com.macrosoft.gestionboot.service.employee,EmployeeManager,40,0,0,0,7,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.controller,HelloWorldController,10,0,0,0,3,0,2,0,2,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,FormController,90,0,2,0,13,0,8,0,7,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,UploadController,63,0,2,0,16,0,6,0,5,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,AsyncController,11,0,0,0,4,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,CustomerController,83,0,2,0,21,0,8,0,7,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,UserController,61,0,0,0,15,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,HomeIndexAppController,13,0,0,0,4,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,HomeController,65,0,0,0,12,0,4,0,4,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,GreetingController,14,0,0,0,4,0,3,0,3,0
gestionstocks,com.macrosoft.gestionboot.controller.customer,ProductCrudAppController,80,0,0,0,21,0,8,0,8,0
gestionstocks,com.macrosoft.gestionboot.restcontroller.employee,EmployeeRestController,29,0,0,0,8,0,3,0,3,0
